Race,Driver,Compound,DegradationRate,LapsInStint
Australian Grand Prix,ANT,HARD,-0.0136,40
Australian Grand Prix,ANT,MEDIUM,-0.3525,9
Australian Grand Prix,RUS,HARD,0.0007,40
Australian Grand Prix,RUS,MEDIUM,-0.1016,10
Austrian Grand Prix,ANT,HARD,0.0435,42
Austrian Grand Prix,ANT,MEDIUM,0.0261,22
Austrian Grand Prix,RUS,HARD,0.029,44
Austrian Grand Prix,RUS,MEDIUM,0.0874,17
Barcelona Grand Prix,ANT,HARD,0.0533,41
Barcelona Grand Prix,ANT,MEDIUM,0.1632,12
Barcelona Grand Prix,RUS,HARD,0.0588,44
Barcelona Grand Prix,RUS,MEDIUM,0.2568,10
Canadian Grand Prix,ANT,MEDIUM,-0.0575,31
Canadian Grand Prix,ANT,SOFT,-0.0764,25
Canadian Grand Prix,RUS,SOFT,-0.0718,25
Chinese Grand Prix,ANT,HARD,-0.0401,39
Chinese Grand Prix,ANT,MEDIUM,-0.1239,8
Chinese Grand Prix,RUS,HARD,-0.059,39
Chinese Grand Prix,RUS,MEDIUM,-0.1096,8
Japanese Grand Prix,ANT,HARD,-0.0,26
Japanese Grand Prix,ANT,MEDIUM,-0.0447,20
Japanese Grand Prix,RUS,HARD,-0.0393,26
Japanese Grand Prix,RUS,MEDIUM,0.01,19
Miami Grand Prix,ANT,HARD,0.0002,28
Miami Grand Prix,ANT,MEDIUM,-0.0119,16
Miami Grand Prix,RUS,HARD,0.0023,34
Miami Grand Prix,RUS,MEDIUM,0.0259,10
Monaco Grand Prix,ANT,HARD,-0.0581,21
Monaco Grand Prix,ANT,MEDIUM,-0.01,35
Monaco Grand Prix,ANT,SOFT,-0.0914,7
Monaco Grand Prix,RUS,HARD,-0.0591,26
Monaco Grand Prix,RUS,MEDIUM,0.0518,29
Monaco Grand Prix,RUS,SOFT,-0.2437,5
